Point1,Point2,Time
13,27,3.3
27,15,3.47
15,16,1.48
16,30,3.55
30,42,2.27
42,43,1.28
44,19,1.9
19,20,1.69
20,45,1.18
45,46,3.34
46,53,1.09
53,54,1.05
54,14,2.36
46,21,3.17
21,22,1.64
50,51,2.22
51,52,1.43
52,26,1.5
26,25,3.61
25,55,2.71
55,29,1.12
29,28,2.58
28,27,2.82
31,41,3.62
41,29,0.87
29,17,1.21
17,18,1.11
18,48,1.18
48,47,1.59
47,45,2.95
48,24,3.27
24,23,3.28
23,43,2.51
48,49,3.57
49,50,3.4
15,35,1.05
35,27,2.85
31,34,1.83
34,41,2.08
31,1,1.21
31,2,1.93
31,3,2.72
3,41,1.25
2,41,1.96
1,41,2.74
55,7,1.49
55,36,1.01
55,8,2.24
55,9,3.12
7,25,1.57
8,25,0.92
9,25,0.8
36,25,2.22
46,38,2.07
38,21,1.43
49,40,2.96
40,50,0.95
43,33,1.57
33,23,1.26
4,24,0.77
5,24,0.96
6,24,1.72
4,48,3.53
5,48,2.72
6,48,1.87
10,48,1.38
11,48,2.15
12,48,2.95
10,49,2.62
11,49,1.77
12,49,1.04
30,32,1.28
32,31,3.1
37,46,1.25
37,45,2.45
26,39,0.84
39,52,1.17
57,49,2.32
23,58,1.87
56,16,2.05
56,31,1.54
56,30,2.58
49,50,3.4
49,48,3.57
58,44,1.19
58,43,1.94
22,57,1.31
57,50,1.88
32,56,1.63
